strategy,seed,subset_size,global_mse,zone_1_mse,zone_2_mse,zone_3_mse,zone_4_mse,zone_5_mse,zone_1_contribution,zone_2_contribution,zone_3_contribution,zone_4_contribution,zone_5_contribution,zone_1_contribution_pct,zone_2_contribution_pct,zone_3_contribution_pct,zone_4_contribution_pct,zone_5_contribution_pct
Morris Method,0,800,0.00015079785819318423,8.045264412783219e-05,2.4439269021535945e-05,0.0004932941443893628,0.00011605413847335325,4.011250713465899e-05,1.6090528825566437e-05,4.887853804307189e-06,9.865882887787256e-05,2.3210827694670648e-05,7.621376355585208e-06,10.693554411636534,3.2484035285051323,65.56736364795817,15.425611649115151,5.065066762785003
Morris Method,0,1000,9.101600541844802e-05,8.211015640766033e-05,2.026221894936084e-05,0.0002693478720696261,4.770987765399806e-05,3.611196246961472e-05,1.6422031281532065e-05,4.0524437898721685e-06,5.3869574413925234e-05,9.541975530799613e-06,6.861272869226798e-06,18.096441066794707,4.465635764705366,59.362180108084864,10.514886672277903,7.5608563881371715
Morris Method,0,1200,7.113987582560872e-05,7.60854734413981e-05,2.1332475507947425e-05,0.0001823919352678828,4.119960464659603e-05,3.4751072503855865e-05,1.5217094688279622e-05,4.2664951015894854e-06,3.647838705357656e-05,8.239920929319207e-06,6.602703775732614e-06,21.49167477181084,6.025731390730526,51.51979709763743,11.63755003080596,9.325246709015238
Morris Method,0,1400,8.600725482903463e-05,7.117733278390322e-05,2.11100931385327e-05,0.00020662168137288104,9.251669611450844e-05,3.873382368560156e-05,1.4235466556780646e-05,4.22201862770654e-06,4.132433627457621e-05,1.8503339222901687e-05,7.3594265002642965e-06,16.62156013022899,4.929696979825687,48.25096090036464,21.60479702416149,8.592984965419182
Morris Method,0,1600,7.926890158456639e-05,7.122238572341687e-05,2.0250368341708457e-05,0.00018590461033786036,8.34407812118687e-05,3.569326721496058e-05,1.424447714468338e-05,4.0500736683416916e-06,3.718092206757207e-05,1.668815624237374e-05,6.781720770842511e-06,18.043465718808168,5.130224482872396,47.097038796563474,21.138871719259456,8.59039928249652
Morris Method,0,1800,7.163577140899641e-05,7.05432406291774e-05,1.884705890173897e-05,0.00015145917666225538,8.456596598817082e-05,3.2986152593757467e-05,1.4108648125835478e-05,3.7694117803477945e-06,3.0291835332451073e-05,1.691319319763416e-05,6.267368992813919e-06,19.773731850084538,5.282953909712965,42.4549980812094,23.704393506439313,8.78392265255379
Morris Method,0,2000,5.84738838818624e-05,7.28309198292233e-05,1.96155683425811e-05,9.82726020027373e-05,6.992025660061998e-05,3.147421931001222e-05,1.456618396584466e-05,3.923113668516221e-06,1.9654520400547462e-05,1.3984051320123996e-05,5.980101668902322e-06,25.067445497012542,6.751420845343732,33.82413815903462,24.065633464235,10.291362034374114
Uniform,0,200,0.00022957298512082762,7.25046426150167e-05,5.222750865224029e-05,0.00047507654634972686,0.00046676771413532193,8.418323161926117e-05,1.4500928523003341e-05,1.0445501730448059e-05,9.501530926994537e-05,9.33535428270644e-05,1.5994814007659624e-05,6.323720042556166,4.5551861415360415,41.43529254880997,40.71061166067073,6.975189606427107
Uniform,0,400,0.00011190169173493044,5.9174275258179964e-05,3.08901676734515e-05,0.00024519926771948393,0.0001826378539432624,4.2448152117955084e-05,1.1834855051635993e-05,6.1780335346903e-06,4.9039853543896785e-05,3.6527570788652486e-05,8.065148902411466e-06,10.600390610215992,5.533618146145155,43.924627785046724,32.717470278481045,7.223893180111072
Uniform,0,600,8.333010870821154e-05,5.062341063014951e-05,2.4763716931375e-05,0.0001825957002028138,0.00012436846956675915,3.548047065220835e-05,1.0124682126029902e-05,4.952743386275e-06,3.651914004056276e-05,2.4873693913351835e-05,6.741289423919586e-06,12.167400151867284,5.951990381544166,43.887105248788885,29.892117434554173,8.101386783245488
Uniform,0,800,5.828009052057605e-05,4.6929303003690536e-05,2.451300651667974e-05,8.803506568014873e-05,9.611128499090017e-05,3.6281609464957384e-05,9.385860600738107e-06,4.902601303335949e-06,1.7607013136029746e-05,1.9222256998180038e-05,6.893505798341903e-06,16.179383427692155,8.451123413609805,30.351038510185784,33.135402234158065,11.883052414354184
Uniform,0,1000,5.539993735395738e-05,4.599290882405661e-05,1.99784615039878e-05,8.433509735099863e-05,8.939728193010583e-05,3.7274857961277485e-05,9.198581764811324e-06,3.99569230079756e-06,1.6867019470199724e-05,1.7879456386021168e-05,7.082223012642722e-06,16.71771130172487,7.261861887317641,30.654504056490833,32.49452988902294,12.87139286544372
